energy_efficiency,renewable_ratio,technology_cost,emission_reduction
68.72700594236812,0.3736408184666985,7569.984798909733,0
97.53571532049581,0.3329120962314033,2660.607960388404,0
86.59969709057026,0.17615391250286005,4119.757249328975,0
79.93292420985183,0.6072666701014879,6969.525731720364,1
57.80093202212183,0.4766241605086289,5338.804100720319,0
57.79972601681013,0.8657009923240037,7647.139347714045,0
52.90418060840997,0.03210958048205825,9650.871111005737,0
93.30880728874675,0.6438679275551263,2048.9201894367775,1
80.05575058716045,0.7629488785115611,7386.1094475825485,0
85.40362888980228,0.759486569188307,3073.0974006890306,1
51.029224714790125,0.8860739670955251,4730.290546668123,0
98.49549260809971,0.7290337428294941,1295.7645321562584,1
91.62213204002109,0.9278100616476963,2223.1664406342907,1
60.61695553391381,0.33265659982089146,3877.9956014400973,0
59.09124836035503,0.5032094167515431,4077.8722475918644,0
59.17022549267169,0.014079663282890675,9096.266948158862,0
65.21211214797688,0.006957587303291213,7676.316183398636,0
76.2378215816119,0.2401266204515199,9749.646713683369,0
71.5972509321058,0.10080719713908526,6391.643593017165,0
64.5614570099021,0.2602113679357536,3175.423588821862,0
80.59264473611897,0.1770432945283974,3948.8952692947855,0
56.97469303260209,0.02852002483864824,3878.523309627704,0
64.6072324267609,0.9093041464060494,3938.448948969264,0
68.31809216468459,0.008223131388891525,7056.677558006341,0
72.8034992108518,0.7360821443370854,5777.271352813746,0
89.25879806965068,0.15214788691951653,4468.817602779798,0
59.98368910791799,0.9122296219996,2341.8079185584493,0
75.71172192068059,0.8927959395898858,1199.2524664793132,1
79.62072844310212,0.6539011463692573,2969.512098289233,1
52.32252063599989,0.6722341498006051,1967.2426357181314,0
80.37724259507192,0.005339141969688543,8069.005277670154,0
58.526206184364575,0.984871566113602,2012.4816203249684,0
53.25257964926398,0.8778326035758144,7518.054135761526,0
97.44427686266667,0.895106225730092,4470.9282079847435,1
98.28160165372796,0.6592445370508719,1660.4055076939837,1
90.41986740582306,0.34478692865453653,8314.570444884272,0
65.23068845866854,0.8936486490904808,6216.6751321295205,0
54.883605700319194,0.29151692815119234,3121.8536157721574,0
84.21165132560785,0.5627115433422029,9052.13056899401,0
72.00762468698007,0.0997309723438824,1407.3248248349632,0
56.10191174223894,0.9219556301327502,2816.376473779866,0
74.75884550556351,0.14077045777121333,7768.422350252749,0
51.71942605576092,0.22489680573040727,7384.401372789002,0
95.4660201039391,0.558134158128215,3603.4452435203025,1
62.93899908000085,0.7640930002129815,1558.223878175048,0
83.1261142176991,0.619351305936299,8722.702650024494,0
65.58555380447055,0.23213391280015616,3823.2787426291234,0
76.00340105889055,0.0009430425274903342,2761.4207343543867,0
77.33551396716399,0.7571505803074392,5644.556401248794,1
59.24272277627635,0.9852073259110937,9192.044793542025,0
98.47923138822793,0.8099131203060904,1391.919200590378,1
88.75664116805572,0.46020661815661534,7892.2367922779895,0
96.97494707820945,0.9037672613991066,6152.25905144838,1
94.74136752138244,0.40984767311835,4829.042048966352,0
79.89499894055426,0.5249340842434675,7696.72399694554,0
96.09371175115584,0.47712976739568325,9692.419819974692,0
54.424625102595975,0.44762387266552495,3062.8559004642193,0
59.79914312095726,0.7751907692939057,2292.8262856490765,0
52.2613644455269,0.526768907269492,9215.935707004273,0
66.26651653816322,0.31671712202521607,7020.577697115733,0
69.4338644844741,0.2581581676584783,4941.874194057694,0
63.567451588694794,0.037747316967433386,6159.3361323785475,0
91.43687545759647,0.583195161883046,7710.525146586197,0
67.83766633467947,0.2299614154010342,7957.287088351455,0
64.04672548436903,0.1481339220163831,9279.04762737068,0
77.13480415791243,0.6538299638276777,4841.5851000606035,1
57.04621124873813,0.6812092578215488,3640.6981901745553,0
90.10984903770199,0.752154892257666,6756.978401108577,1
53.727532183988544,0.5035768963385915,4741.551093515773,0
99.34434683002587,0.8940546052038866,6351.386085540801,1
88.61223846483287,0.9363427533982278,4779.872186103552,1
59.93578407670862,0.8073709397924894,2376.9620801035703,0
50.27610585618012,0.6355934820081872,5224.8407649306255,0
90.77307142274171,0.30372095359118867,7218.260397469295,0
85.34286719238085,0.9829449216202212,8193.554269008848,0
86.45035840204937,0.27413616719193834,5439.936491168922,0
88.56351733429729,0.20265692199043106,2487.1410118936083,0
53.70223258670452,0.44215411378658276,4732.189386844884,0
67.92328642721363,0.05684057071238846,8076.645359575285,0
